name,date,link,price,ticket_open_date
고잉홈프로젝트: 베토벤 전곡 시리즈 4.,2024-08-13,https://www.sac.or.kr/site/main/show/show_view?SN=60798,가격 정보 없음,예매 일정 없음
한경arte필하모닉 정기연주회,2024-08-14,https://www.sac.or.kr/site/main/show/show_view?SN=60767,가격 정보 없음,예매 일정 없음
한화생명과 함께하는 예술의전당 11시 콘서트(8월),2024-08-15,https://www.sac.or.kr/site/main/show/show_view?SN=60188,,
고잉홈프로젝트: 베토벤 전곡 시리즈 5.,2024-08-16,https://www.sac.or.kr/site/main/show/show_view?SN=60797,"R석 100,000원 / S석 80,000원 / A석 50,000원 / B석 30,000원",2024-03-19
2024 예술의전당 토요콘서트(8월),2024-08-17,https://www.sac.or.kr/site/main/show/show_view?SN=60187,,
김유빈 음반발매기념 리사이틀,2024-08-18,https://www.sac.or.kr/site/main/show/show_view?SN=64325,가격 정보 없음,예매 일정 없음
카로스 타악기 앙상블 35주년 정기연주회,2024-08-20,https://www.sac.or.kr/site/main/show/show_view?SN=66322,가격 정보 없음,예매 일정 없음
기획공연 <여름합창축제Ⅰ>,2024-08-21,https://www.sac.or.kr/site/main/show/show_view?SN=60795,가격 정보 없음,예매 일정 없음
"국립심포니오케스트라 쇼스타코비치, 교향곡 5번",2024-09-26,https://www.sac.or.kr/site/main/show/show_view?SN=60791,"R 70,000원 / S 50,000원 / A 30,000원 / B 10,000원  ",2023-12-20
KT와 함께하는 예술의전당 마음을 담은 클래식(9월),2024-09-27,https://www.sac.or.kr/site/main/show/show_view?SN=60172,,
강남심포니오케스트라 제106회 정기연주회,2024-09-28,https://www.sac.or.kr/site/main/show/show_view?SN=68684,가격 정보 없음,예매 일정 없음
KCO 제187회 정기연주회,2024-09-29,https://www.sac.or.kr/site/main/show/show_view?SN=60864,가격 정보 없음,예매 일정 없음
강주미 바이올린 리사이틀,2024-09-10,https://www.sac.or.kr/site/main/show/show_view?SN=60801,가격 정보 없음,예매 일정 없음
콜레기움 보칼레 서울의 바흐 미사 b단조 - 마사아키 스즈키,2024-09-11,https://www.sac.or.kr/site/main/show/show_view?SN=61661,가격 정보 없음,예매 일정 없음
한화생명과 함께하는 예술의전당 11시 콘서트(9월),2024-09-12,https://www.sac.or.kr/site/main/show/show_view?SN=60179,,
국립합창단 제199회 정기연주 <가을음악회>,2024-09-13,https://www.sac.or.kr/site/main/show/show_view?SN=64012,가격 정보 없음,예매 일정 없음
히사이시 조 영화음악 콘서트 2024_서울,2024-09-14,https://www.sac.or.kr/site/main/show/show_view?SN=62289,가격 정보 없음,예매 일정 없음
박재홍 피아노 리사이틀,2024-09-01,https://www.sac.or.kr/site/main/show/show_view?SN=68845,가격 정보 없음,예매 일정 없음
스위스 로잔 챔버 오케스트라 내한 공연,2024-09-03,https://www.sac.or.kr/site/main/show/show_view?SN=60784,가격 정보 없음,예매 일정 없음
2024 제41회 대한민국국제음악제,2024-09-04,https://www.sac.or.kr/site/main/show/show_view?SN=60880,가격 정보 없음,예매 일정 없음
2024 서울시향 크리스티안 테츨라프의 브람스 바이올린 협주곡 ①,2024-09-05,https://www.sac.or.kr/site/main/show/show_view?SN=60766,"R석 100,000원 / S석 80,000원 / A석 50,000원 / B석 30,000원 / C석 10,000원",예매 일정 없음
정경화 바이올린 리사이틀,2024-09-06,https://www.sac.or.kr/site/main/show/show_view?SN=67409,가격 정보 없음,예매 일정 없음
마르크-앙드레 아믈랭 피아노 리사이틀,2024-09-08,https://www.sac.or.kr/site/main/show/show_view?SN=61720,가격 정보 없음,예매 일정 없음
마리아 조앙 피레스 피아노 리사이틀,2024-09-20,https://www.sac.or.kr/site/main/show/show_view?SN=62288,가격 정보 없음,예매 일정 없음
2024 예술의전당 토요콘서트(9월),2024-09-21,https://www.sac.or.kr/site/main/show/show_view?SN=60174,,
KT와 함께하는 예술의전당 마음을 담은 클래식(10월),2024-10-22,https://www.sac.or.kr/site/main/show/show_view?SN=66820,,
2024 빈 필하모닉 내한공연,2024-10-23,https://www.sac.or.kr/site/main/show/show_view?SN=60755,가격 정보 없음,예매 일정 없음
2024 빈 필하모닉 내한공연,2024-10-24,https://www.sac.or.kr/site/main/show/show_view?SN=60754,가격 정보 없음,예매 일정 없음
서울국제음악제 폐막음악회 : SIMF오케스트라 with 만프레드 호넥,2024-10-26,https://www.sac.or.kr/site/main/show/show_view?SN=60762,,
테너 로베르토 알라냐 내한 리사이틀,2024-10-27,https://www.sac.or.kr/site/main/show/show_view?SN=66625,가격 정보 없음,예매 일정 없음
제16회 세일 한국가곡의 밤,2024-10-29,https://www.sac.or.kr/site/main/show/show_view?SN=61740,가격 정보 없음,예매 일정 없음
베아트리체 라나 피아노 리사이틀,2024-10-30,https://www.sac.or.kr/site/main/show/show_view?SN=68501,가격 정보 없음,예매 일정 없음
한화생명과 함께하는 예술의전당 11시 콘서트(10월),2024-10-10,https://www.sac.or.kr/site/main/show/show_view?SN=60168,,
한경arte필하모닉 정기연주회,2024-10-11,https://www.sac.or.kr/site/main/show/show_view?SN=60765,가격 정보 없음,예매 일정 없음
2024 예술의전당 토요콘서트(10월),2024-10-12,https://www.sac.or.kr/site/main/show/show_view?SN=61231,,
피아니스트 손민수 바흐 평균율 1권 전곡연주,2024-10-13,https://www.sac.or.kr/site/main/show/show_view?SN=60782,가격 정보 없음,예매 일정 없음
콘체르토 마라톤 프로젝트 - 선우예권의 라흐마니노프 피아노 협주곡,2024-10-15,https://www.sac.or.kr/site/main/show/show_view?SN=64171,가격 정보 없음,예매 일정 없음
비바! 이탈리아 2024,2024-10-16,https://www.sac.or.kr/site/main/show/show_view?SN=68777,가격 정보 없음,예매 일정 없음
2024 대한민국합창대제전,2024-10-17,https://www.sac.or.kr/site/main/show/show_view?SN=66320,가격 정보 없음,예매 일정 없음
